age_groups,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
20 - 24,59.31843076798248,63.90477569938752,64.46286781877627,60.961482101737495,60.42133309248555,61.36272075701504,61.570374643269176,62.24949913549414,61.99790071938762,62.534316568619325
25 - 29,62.831044767719966,67.29644345527059,67.74661658803079,63.7928372487285,63.95079059005013,64.61686263702614,64.5920125293657,65.3805814812328,65.13110407817662,65.56373441658495
30 - 34,67.01544098136469,70.75373006345396,70.7679523118345,67.50973926848629,67.19531539829349,68.01611422215899,67.29827969601446,68.21165519061442,67.7763369222533,68.04735106866758
35 - 39,67.13470999088976,71.01815846121796,71.58735719544926,68.50118938920659,68.66048615831791,69.31798840793044,68.39685530887462,69.26103878836228,69.04268439991354,69.2907087544121
40 - 44,63.73413255740503,68.13920163766633,68.5898834596516,65.04210220673636,65.19791025026807,65.8762296957218,66.0626574836217,67.16692345836432,67.36313566164908,67.79080160371818
45 - 49,63.06585923096601,67.39410169019962,67.86504462316333,64.2087640731595,64.44024719515672,64.80157147069536,65.02777803118073,65.70534725898831,65.85670132334387,66.21548346173128
50 - 54,61.70081698632531,66.04621507647435,66.46309382575953,62.80730354157167,62.86044333916674,63.14082621494367,63.32579712847287,63.948397216113754,64.05381611588034,64.35325818757197
55 - 59,61.37066385627218,65.65322635413736,65.87948366037315,61.989801468588524,61.9839447492093,62.094484158344706,62.2701007099224,62.63986183610502,62.68218091952839,62.91322292623742
60 - 64,60.14426042803588,64.44752119989748,64.86875697245344,61.1155910008369,61.09724693323345,61.239256948647515,61.29852179091741,61.53408682527133,61.50590139730146,61.567081189377156
65 - 69,59.66616567431643,63.89470102090423,64.22459844299804,60.28134882763525,60.274847775175644,60.319024925429424,60.483105277855344,60.69163173169945,60.65252466271244,60.845940778876695
70 - 74,57.875200949245965,62.099815695023764,62.61548623107408,58.91532186029893,59.163817858607956,59.33328306723719,59.48592047018562,59.91406946525789,59.66541282678202,59.56845910528694
75 - 79,55.370464407718586,59.81806575167571,60.464061705373794,56.80352901255514,57.15179056940884,57.194651080410914,57.42507122507123,57.97198399085192,58.186007888727424,58.37236052912661
80 - 84,52.52534941079748,56.97387518142235,57.62730268084469,54.24545213119108,54.51736698321842,54.7632804669536,55.1883608253035,55.776391955600644,56.02439821370221,56.276926159703436
85 - 89,48.17644742024419,52.447278911564624,53.07208588957055,49.44738233738762,49.404352806414664,49.969528351881294,50.09810710987996,51.242396936246905,51.947265625,52.29053420805998
