year,age_groups,weight,waist,sight_left,sight_right,los_left,los_right,hearing_left,hearing_right,wow_ratio
2013.0,20 - 24,59.31843076798248,73.43620430849121,1.0402988104421258,1.040565540184186,0.0007302527485902065,0.0006491135543024057,1.0030021501886486,1.0034484157572314,1.2634737120098851
2014.0,20 - 24,63.90477569938752,73.76080119185565,1.0473468373306822,1.044694586988909,0.0009518291673563979,0.0007449097831484854,1.0033520940241683,1.0034348617778512,1.1741453062196923
2015.0,20 - 24,64.46286781877627,74.22483121735807,1.0424633680186877,1.0366608636575942,0.0002547662519638232,0.00046707146193367583,1.0026750456456202,1.0027599677296082,1.1719422139113471
2016.0,20 - 24,60.961482101737495,74.5752145698137,1.0440581409961043,1.040326564789617,0.0005024073686414068,0.0005861419300816412,1.0026376386853675,1.0026376386853675,1.2517807878086296
2017.0,20 - 24,60.42133309248555,74.3540823699422,1.0321631878557875,1.0304958453757225,0.00045158959537572253,0.0006322254335260116,1.0027095375722543,1.0031159682080926,1.2561336262848424
2018.0,20 - 24,61.36272075701504,75.02123483393451,1.0355478456561489,1.033264627348105,0.000843209818709889,0.0006558298589965803,1.002857544385628,1.0022485595165598,1.2488772389165927
2019.0,20 - 24,61.570374643269176,75.1733468941648,1.0138494728206375,1.0133159268929504,0.000819721901754812,0.000667921549577995,1.0024591657052644,1.0024591657052644,1.247999341177836
2020.0,20 - 24,62.24949913549414,75.47682575404123,0.9995579109231699,0.9986250240140517,0.0005214479787029667,0.0006037818700771194,1.0024700167412246,1.002223015067102,1.2425270755564122
2021.0,20 - 24,61.99790071938762,75.06574332454366,0.9880221271800651,0.9872276695425104,0.0003584137630885026,0.0006400245769437546,1.0021248815954533,1.0022016845446866,1.241710385664624
2022.0,20 - 24,62.534316568619325,75.12486259563067,0.9879615299579925,0.9907973596265917,0.0006352362802772945,0.0010219018421852128,1.001988565746955,1.0020438036843704,1.232520176691264
2013.0,25 - 29,62.831044767719966,76.25441064745772,1.0665953463492912,1.0651706575874391,0.000520554883367568,0.0005346239342693942,1.003320296012831,1.0029685697402853,1.2406156027004798
2014.0,25 - 29,67.29644345527059,76.61932573528314,1.0729560876453532,1.0737688021868046,0.0006124247539098092,0.0007468594559875722,1.0024945105829985,1.0028380659327527,1.1599733300518968
2015.0,25 - 29,67.74661658803079,76.9974546809039,1.0714707252678988,1.070624844797616,0.0006518500124161907,0.0004656071517258505,1.002483238142538,1.0023590762354109,1.15798736887466
2016.0,25 - 29,63.7928372487285,77.00056006296924,1.0698459347684477,1.070312121579075,0.000802252361346573,0.0006054734802615645,1.002694356987164,1.0026640833131508,1.2364607071796336
2017.0,25 - 29,63.95079059005013,77.23005322020826,1.0675529288315535,1.063892016968762,0.000323949093713845,0.0004627844195912071,1.0021750867720787,1.002267643655997,1.2354904460011473
2018.0,25 - 29,64.61686263702614,77.67056463959825,1.0644537351833134,1.0584160083287404,0.000275583318023149,0.0004133749770347235,1.0018219119358196,1.0019750137791659,1.2299623623614317
2019.0,25 - 29,64.5920125293657,77.59530291165373,1.0563327112921836,1.05267316864811,0.0005125649604897842,0.0005410407916281056,1.0024346835623266,1.002747917704848,1.2288949803793723
2020.0,25 - 29,65.3805814812328,78.0869549452763,1.0506248488268966,1.0487181897535756,0.000631169005573088,0.0006043107500167865,1.0019740817833882,1.0023903847445108,1.2229122424157908
2021.0,25 - 29,65.13110407817662,77.68952833069598,1.0366338008609914,1.034657560867272,0.00044418533633158437,0.0005413508786541184,1.0022348074734182,1.0021931650981373,1.2218532282460794
2022.0,25 - 29,65.56373441658495,77.79290236727833,1.0332090754936445,1.0311990474856423,0.0004622496147919877,0.00039221179436895923,1.0020030816640986,1.002269225381706,1.2155703917993532
2013.0,30 - 34,67.01544098136469,79.87351254260813,1.0891117624830207,1.0914753127997878,0.0007450043883820138,0.0006837711509807523,1.0044598207907252,1.0040005715102158,1.2168021852631299
2014.0,30 - 34,70.75373006345396,79.76077216600926,1.093732636840468,1.0935881495455324,0.0007181444006173898,0.0007074258274738466,1.0036764705882353,1.003451380552221,1.147561933225756
2015.0,30 - 34,70.7679523118345,79.84444838398724,1.0923088011887205,1.0925099442677806,0.0007977574152659746,0.0006647978460549787,1.0035345085481924,1.0033350691943759,1.1493978973945258
2016.0,30 - 34,67.50973926848629,80.31430664956952,1.0890491498698218,1.0883263112902242,0.0009037064175367894,0.0006594614398241437,1.003248458203578,1.0037735849056604,1.2172673794482685
2017.0,30 - 34,67.19531539829349,80.30548924793082,1.0862051308310718,1.0867022297271367,0.000703585728722928,0.000703585728722928,1.0029422675928414,1.0032876642233053,1.2218369680245342
2018.0,30 - 34,68.01611422215899,80.8602382214865,1.0867517275291803,1.0865938983226207,0.0005819743155335411,0.0006337053658031892,1.003233190641853,1.0034918458932012,1.2155027246015024
2019.0,30 - 34,67.29827969601446,80.39507611856413,1.072516843765667,1.0723101923123917,0.0007941744251398968,0.0005498130635583901,1.003408840994062,1.002920118270899,1.2223236628645462
2020.0,30 - 34,68.21165519061442,80.94520045104484,1.0671673510553996,1.0688011324104507,0.0009116863798853195,0.0005038266836208344,1.002998968354886,1.0029030013675295,1.2148661412678101
2021.0,30 - 34,67.7763369222533,80.45613943251442,1.0518809523809525,1.0548105407173876,0.0006543334721313426,0.0007138183332341919,1.0029980369995837,1.0029266551662601,1.215895071154762
2022.0,30 - 34,68.04735106866758,80.38177012278308,1.048168796149864,1.0486493860845838,0.0007617098681218736,0.0005798090040927694,1.0026830377444294,1.0028080945884492,1.2103058218611393
